City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,haiku-pauwela,20.9219,-156.3051,24.01,87,75,8.49,US,1730352138
83,harstad,68.799,16.5293,-1.03,77,99,6.11,NO,1730352139
84,martinsicuro,42.8811,13.9145,15.07,99,0,2.84,IT,1730352141
85,bethel,41.3712,-73.414,17.23,80,100,0.89,US,1730352142
86,stanley,54.868,-1.6985,12.01,91,75,3.6,GB,1730352143
87,peno,56.9262,32.7426,2.02,77,43,5.69,RU,1730352144
88,edinburgh of the seven seas,-37.0676,-12.3116,13.1,79,11,7.29,SH,1730352145
89,hamilton,39.1834,-84.5333,20.02,78,40,5.66,US,1730352146
90,hermanus,-34.4187,19.2345,16.56,76,4,4.2,ZA,1730352147
91,korsakov,46.6328,142.7813,10.91,65,42,7.09,RU,1730352148
92,sos'va,59.1766,61.8558,1.4,83,95,3.8,RU,1730352149
93,margate,51.3813,1.3862,13.16,91,71,1.34,GB,1730352151
94,east london,-33.0153,27.9116,16.52,72,75,3.6,ZA,1730352152
95,conduaga,8.862,117.4893,30.65,66,93,4.94,PH,1730352153
96,rauma,61.1272,21.5113,6.75,66,97,9.37,FI,1730352154
97,port macquarie,-31.4333,152.9167,25.6,60,34,2.24,AU,1730352155
98,itaituba,-4.2761,-55.9836,25.63,76,92,1.21,BR,1730352156
99,sagua la grande,22.8067,-80.0756,25.34,78,97,6.94,CU,1730352157
100,kirkwood,38.5834,-90.4068,22.08,70,25,1.79,US,1730352158
101,ponta delgada,37.7333,-25.6667,18.44,82,40,1.54,PT,1730352160
102,praia da vitoria,38.7333,-27.0667,19.14,88,75,5.04,PT,1730352162
103,georgetown,5.4112,100.3354,30.97,70,20,2.68,MY,1730351889
104,kavaratti,10.5669,72.642,27.49,66,23,0.92,IN,1730352164
105,akureyri,65.6835,-18.0878,3.96,65,100,3.6,IS,1730352165
106,papatowai,-46.5619,169.4708,12.68,81,100,4.45,NZ,1730352166
107,sitia,35.2,26.0986,17.94,61,1,12.48,GR,1730352168
108,narangba,-27.2,152.9667,26.89,71,42,4.28,AU,1730352169
109,nova vicosa,-17.8919,-39.3719,21.42,93,100,1.37,BR,1730352170
110,minas de marcona,-15.2119,-75.1103,12.84,83,28,1.94,PE,1730352172
111,nemuro,43.3236,145.575,11.54,60,6,7.51,JP,1730352173
112,whitehorse,60.7161,-135.0538,-3.57,92,75,1.03,CA,1730352174
113,padang,-0.9492,100.3543,30.03,69,43,2.81,ID,1730352175
114,aizpute,56.7167,21.6,6.88,71,99,2.53,LV,1730352177
115,ohara,35.25,140.3833,18.87,62,85,3.92,JP,1730352178
116,ingeniero jacobacci,-41.3427,-69.5448,14.41,44,1,3.6,AR,1730352179
117,tonj,7.2737,28.6822,25.09,73,100,1.03,SS,1730352180
118,isafjordur,66.0755,-23.124,-4.22,87,97,2.15,IS,1730352181
119,el granada,37.5027,-122.4694,14.5,78,100,4.12,US,1730352044
120,sodankyla,67.4167,26.6,-2.97,75,71,1.77,FI,1730352183
121,ventnor,50.5948,-1.2037,11.9,95,91,4.63,GB,1730352184
122,christchurch,-43.5333,172.6333,20.11,45,24,2.57,NZ,1730351710
123,bruntal,49.9884,17.4647,9.23,95,73,1.19,CZ,1730352187
124,howard springs,-12.497,131.047,28.82,74,98,3.69,AU,1730352188
125,port elizabeth,-33.918,25.5701,17.95,78,75,1.54,ZA,1730352190
126,arinos,-15.9169,-46.1056,20.46,95,100,1.03,BR,1730352191
127,berezovyy,51.6667,135.7,5.29,32,37,0.88,RU,1730352192
128,verkhnyaya sinyachikha,57.976,61.6673,1.73,74,96,3.42,RU,1730352193
129,sheridan,44.8333,-106.9173,1.76,88,0,0.0,US,1730352194
